 0.8544,"In the name of Allah, Most Gracious, Most Merciful.","Gracious is the LORD, and righteous; yea, our God is merciful."
 0.9374,"And remember We took your covenant and We raised above you (The towering height) of Mount (Sinai): (Saying): ""Hold firmly to what We have given you and bring (ever) to remembrance what is therein: Perchance ye may fear Allah.""","Wherefore we receiving a kingdom which cannot be moved, let us have grace, whereby we may serve God acceptably with reverence and godly fear:"
 0.9147,"But ye turned back thereafter: Had it not been for the Grace and Mercy of Allah to you, ye had surely been among the lost.","Where is then the blessedness ye spake of? for I bear you record, that, if it had been possible, ye would have plucked out your own eyes, and have given them to me."
 0.9103,"And well ye knew those amongst you who transgressed in the matter of the Sabbath: We said to them: ""Be ye apes, despised and rejected.""","And he said unto them, Full well ye reject the commandment of God, that ye may keep your own tradition."
 0.9115,"So We made it an example to their own time and to their posterity, and a lesson to those who fear Allah.","When he shall come to be glorified in his saints, and to be admired in all them that believe (because our testimony among you was believed) in that day."
 0.9214,"And remember Moses said to his people: ""Allah commands that ye sacrifice a heifer."" They said: ""Makest thou a laughing-stock of us?"" He said: ""Allah save me from being an ignorant (fool)!""","And Moses said, It is not meet so to do; for we shall sacrifice the abomination of the Egyptians to the LORD our God: lo, shall we sacrifice the abomination of the Egyptians before their eyes, and will they not stone us?"
 0.9295,"They said: ""Beseech on our behalf Thy Lord to make plain to us what (heifer) it is!"" He said; ""He says: The heifer should be neither too old nor too young, but of middling age. Now do what ye are commanded!""","And it came to pass on the seventh day, that they said unto Samson's wife, Entice thy husband, that he may declare unto us the riddle, lest we burn thee and thy father's house with fire: have ye called us to take that we have? is it not so?"
 0.9201,"They said: ""Beseech on our behalf Thy Lord to make plain to us Her colour."" He said: ""He says: A fawn-coloured heifer, pure and rich in tone, the admiration of beholders!""","And the messenger that was gone to call Micaiah spake unto him, saying, Behold now, the words of the prophets declare good unto the king with one mouth: let thy word, I pray thee, be like the word of one of them, and speak that which is good."
 0.9479,"They said: ""Beseech on our behalf Thy Lord to make plain to us what she is: To us are all heifers alike: We wish indeed for guidance, if Allah wills.""","And now, I pray you, beseech God that he will be gracious unto us: this hath been by your means: will he regard your persons? saith the LORD of hosts."
 0.9378,"He said: ""He says: A heifer not trained to till the soil or water the fields; sound and without blemish."" They said: ""Now hast thou brought the truth."" Then they offered her in sacrifice, but not with good-will.","And the priest answered David, and said, There is no common bread under mine hand, but there is hallowed bread; if the young men have kept themselves at least from women."
 0.9411,Remember ye slew a man and fell into a dispute among yourselves as to the crime: But Allah was to bring forth what ye did hide.,"And when the blood of thy martyr Stephen was shed, I also was standing by, and consenting unto his death, and kept the raiment of them that slew him."
 0.9270,"So We said: ""Strike the (body) with a piece of the (heifer)."" Thus Allah bringeth the dead to life and showeth you His Signs: Perchance ye may understand.","And ye shall not go out from the door of the tabernacle of the congregation, lest ye die: for the anointing oil of the LORD is upon you. And they did according to the word of Moses."
 0.9179,Thenceforth were your hearts hardened: They became like a rock and even worse in hardness. For among rocks there are some from which rivers gush forth; others there are which when split asunder send forth water; and others which sink for fear of Allah. And Allah is not unmindful of what ye do.,"For we must needs die, and are as water spilt on the ground, which cannot be gathered up again; neither doth God respect any person: yet doth he devise means, that his banished be not expelled from him."
 0.9515,"Can ye (o ye men of Faith) entertain the hope that they will believe in you?- Seeing that a party of them heard the Word of Allah, and perverted it knowingly after they understood it.","Having your conversation honest among the Gentiles: that, whereas they speak against you as evildoers, they may by your good works, which they shall behold, glorify God in the day of visitation."
 0.9322,"Behold! when they meet the men of Faith, they say: ""We believe"": But when they meet each other in private, they say: ""Shall you tell them what Allah hath revealed to you, that they may engage you in argument about it before your Lord?""- Do ye not understand (their aim)?","And Judah said, What shall we say unto my lord? what shall we speak? or how shall we clear ourselves? God hath found out the iniquity of thy servants: behold, we are my lord's servants, both we, and he also with whom the cup is found."
 0.9321,Know they not that Allah knoweth what they conceal and what they reveal?,"God shall hear, and afflict them, even he that abideth of old. Selah. Because they have no changes, therefore they fear not God."
 0.9353,"And there are among them illiterates, who know not the Book, but (see therein their own) desires, and they do nothing but conjecture.","But these speak evil of those things which they know not: but what they know naturally, as brute beasts, in those things they corrupt themselves."
 0.9037,"Then woe to those who write the Book with their own hands, and then say:""This is from Allah,"" to traffic with it for miserable price!- Woe to them for what their hands do write, and for the gain they make thereby.","Woe unto you, ye blind guides, which say, Whosoever shall swear by the temple, it is nothing; but whosoever shall swear by the gold of the temple, he is a debtor!"
 0.9354,"And they say: ""The Fire shall not touch us but for a few numbered days:"" Say: ""Have ye taken a promise from Allah, for He never breaks His promise? or is it that ye say of Allah what ye do not know?""","Then said some of his disciples among themselves, What is this that he saith unto us, A little while, and ye shall not see me: and again, a little while, and ye shall see me: and, Because I go to the Father?"
 0.9505,"Nay, those who seek gain in evil, and are girt round by their sins,- they are companions of the Fire: Therein shall they abide (For ever).","The land also shall be left of them, and shall enjoy her sabbaths, while she lieth desolate without them: and they shall accept of the punishment of their iniquity: because, even because they despised my judgments, and because their soul abhorred my statutes."
 0.9430,"But those who have faith and work righteousness, they are companions of the Garden: Therein shall they abide (For ever).","For evildoers shall be cut off: but those that wait upon the LORD, they shall inherit the earth."
 0.9509,"And remember We took a covenant from the Children of Israel (to this effect): Worship none but Allah; treat with kindness your parents and kindred, and orphans and those in need; speak fair to the people; be steadfast in prayer; and practise regular charity. Then did ye turn back, except a few among you, and ye backslide (even now).","Call together the archers against Babylon: all ye that bend the bow, camp against it round about; let none thereof escape: recompense her according to her work; according to all that she hath done, do unto her: for she hath been proud against the LORD, against the Holy One of Israel."
 0.9387,"And remember We took your covenant (to this effect): Shed no blood amongst you, nor turn out your own people from your homes: and this ye solemnly ratified, and to this ye can bear witness.",These are the things that ye shall do; Speak ye every man the truth to his neighbour; execute the judgment of truth and peace in your gates:
 0.9509,"After this it is ye, the same people, who slay among yourselves, and banish a party of you from their homes; assist (Their enemies) against them, in guilt and rancour; and if they come to you as captives, ye ransom them, though it was not lawful for you to banish them. Then is it only a part of the Book that ye believe in, and do ye reject the rest? but what is the reward for those among you who behave like this but disgrace in this life?- and on the Day of Judgment they shall be consigned to the most grievous penalty. For Allah is not unmindful of what ye do.","Thus saith the LORD; For three transgressions of Judah, and for four, I will not turn away the punishment thereof; because they have despised the law of the LORD, and have not kept his commandments, and their lies caused them to err, after the which their fathers have walked:"
 0.9345,These are the people who buy the life of this world at the price of the Hereafter: their penalty shall not be lightened nor shall they be helped.,"They are vanity, the work of errors: in the time of their visitation they shall perish."
 0.9590,"We gave Moses the Book and followed him up with a succession of messengers; We gave Jesus the son of Mary Clear (Signs) and strengthened him with the holy spirit. Is it that whenever there comes to you a messenger with what ye yourselves desire not, ye are puffed up with pride?- Some ye called impostors, and others ye slay!","Men and brethren, this scripture must needs have been fulfilled, which the Holy Ghost by the mouth of David spake before concerning Judas, which was guide to them that took Jesus."
 0.9339,"They say, ""Our hearts are the wrappings (which preserve Allah's Word: we need no more)."" Nay, Allah's curse is on them for their blasphemy: Little is it they believe.","They only consult to cast him down from his excellency: they delight in lies: they bless with their mouth, but they curse inwardly. Selah."
 0.9454,"And when there comes to them a Book from Allah, confirming what is with them,- although from of old they had prayed for victory against those without Faith,- when there comes to them that which they (should) have recognised, they refuse to believe in it but the curse of Allah is on those without Faith.","And it shall be unto them as a false divination in their sight, to them that have sworn oaths: but he will call to remembrance the iniquity, that they may be taken."
 0.9527,"Miserable is the price for which they have sold their souls, in that they deny (the revelation) which Allah has sent down, in insolent envy that Allah of His Grace should send it to any of His servants He pleases: Thus have they drawn on themselves Wrath upon Wrath. And humiliating is the punishment of those who reject Faith.","Yea, all Israel have transgressed thy law, even by departing, that they might not obey thy voice; therefore the curse is poured upon us, and the oath that is written in the law of Moses the servant of God, because we have sinned against him."
 0.9147,"When it is said to them, ""Believe in what Allah Hath sent down, ""they say, ""We believe in what was sent down to us:"" yet they reject all besides, even if it be Truth confirming what is with them. Say: ""Why then have ye slain the prophets of Allah in times gone by, if ye did indeed believe?""","And they reasoned with themselves, saying, If we shall say, From heaven; he will say, Why then did ye not believe him?"
 0.9495,"There came to you Moses with clear (Signs); yet ye worshipped the calf (Even) after that, and ye did behave wrongfully.","Because they met not the children of Israel with bread and with water, but hired Balaam against them, that he should curse them: howbeit our God turned the curse into a blessing."
 0.9431,"And remember We took your covenant and We raised above you (the towering height) of Mount (Sinai): (Saying): ""Hold firmly to what We have given you, and hearken (to the Law)"": They said:"" We hear, and we disobey:"" And they had to drink into their hearts (of the taint) of the calf because of their Faithlessness. Say: ""Vile indeed are the behests of your Faith if ye have any faith!""","(For those priests were made without an oath; but this with an oath by him that said unto him, The Lord sware and will not repent, Thou art a priest for ever after the order of Melchisedec:)"
 0.9304,"Say: ""If the last Home, with Allah, be for you specially, and not for anyone else, then seek ye for death, if ye are sincere.""","Now the just shall live by faith: but if any man draw back, my soul shall have no pleasure in him."
 0.9445,"But they will never seek for death, on account of the (sins) which their hands have sent on before them. and Allah is well-acquainted with the wrong-doers.","For the love of money is the root of all evil: which while some coveted after, they have erred from the faith, and pierced themselves through with many sorrows."
 0.9261,"Thou wilt indeed find them, of all people, most greedy of life,-even more than the idolaters: Each one of them wishes He could be given a life of a thousand years: But the grant of such life will not save him from (due) punishment. For Allah sees well all that they do.","A man to whom God hath given riches, wealth, and honour, so that he wanteth nothing for his soul of all that he desireth, yet God giveth him not power to eat thereof, but a stranger eateth it: this is vanity, and it is an evil disease."
 0.9478,"Say: Whoever is an enemy to Gabriel-for he brings down the (revelation) to thy heart by Allah's will, a confirmation of what went before, and guidance and glad tidings for those who believe,-","Whom God hath set forth to be a propitiation through faith in his blood, to declare his righteousness for the remission of sins that are past, through the forbearance of God;"
 0.9220,"Whoever is an enemy to Allah and His angels and messengers, to Gabriel and Michael,- Lo! Allah is an enemy to those who reject Faith.",Every word of God is pure: he is a shield unto them that put their trust in him.
 0.9504,We have sent down to thee Manifest Signs (ayat); and none reject them but those who are perverse.,"God shall hear, and afflict them, even he that abideth of old. Selah. Because they have no changes, therefore they fear not God."
 0.9288,"Is it not (the case) that every time they make a covenant, some party among them throw it aside?- Nay, Most of them are faithless.","I say then, Have they stumbled that they should fall? God forbid: but rather through their fall salvation is come unto the Gentiles, for to provoke them to jealousy."
 0.9367,"And when there came to them a messenger from Allah, confirming what was with them, a party of the people of the Book threw away the Book of Allah behind their backs, as if (it had been something) they did not know!","And it came to pass, when the priests were come out of the holy place: (for all the priests that were present were sanctified, and did not then wait by course:"
 0.9487,"They followed what the evil ones gave out (falsely) against the power of Solomon: the blasphemers Were, not Solomon, but the evil ones, teaching men Magic, and such things as came down at babylon to the angels Harut and Marut. But neither of these taught anyone (Such things) without saying: ""We are only for trial; so do not blaspheme."" They learned from them the means to sow discord between man and wife. But they could not thus harm anyone except by Allah's permission. And they learned what harmed them, not what profited them. And they knew that the buyers of (magic) would have no share in the happiness of the Hereafter. And vile was the price for which they did sell their souls, if they but knew!","The priests said not, Where is the LORD? and they that handle the law knew me not: the pastors also transgressed against me, and the prophets prophesied by Baal, and walked after things that do not profit."
 0.9245,"If they had kept their Faith and guarded themselves from evil, far better had been the reward from their Lord, if they but knew!","How much more, if haply the people had eaten freely to day of the spoil of their enemies which they found? for had there not been now a much greater slaughter among the Philistines?"
 0.9457,"O ye of Faith! Say not (to the Messenger) words of ambiguous import, but words of respect; and hearken (to him): To those without Faith is a grievous punishment.","Awake to righteousness, and sin not; for some have not the knowledge of God: I speak this to your shame."
 0.9288,"It is never the wish of those without Faith among the People of the Book, nor of the Pagans, that anything good should come down to you from your Lord. But Allah will choose for His special Mercy whom He will - for Allah is Lord of grace abounding.",For the LORD God is a sun and shield: the LORD will give grace and glory: no good thing will he withhold from them that walk uprightly.
 0.9384,"None of Our revelations do We abrogate or cause to be forgotten, but We substitute something better or similar: Knowest thou not that Allah Hath power over all things?","But we will not boast of things without our measure, but according to the measure of the rule which God hath distributed to us, a measure to reach even unto you."
 0.9378,Knowest thou not that to Allah belongeth the dominion of the heavens and the earth? And besides Him ye have neither patron nor helper.,And the Levite that is within thy gates; thou shalt not forsake him; for he hath no part nor inheritance with thee.
 0.9378,"Would ye question your Messenger as Moses was questioned of old? but whoever changeth from Faith to Unbelief, Hath strayed without doubt from the even way.",Be ye not unequally yoked together with unbelievers: for what fellowship hath righteousness with unrighteousness? and what communion hath light with darkness?
 0.9472,"Quite a number of the People of the Book wish they could Turn you (people) back to infidelity after ye have believed, from selfish envy, after the Truth hath become Manifest unto them: But forgive and overlook, Till Allah accomplish His purpose; for Allah Hath power over all things.","For the love of money is the root of all evil: which while some coveted after, they have erred from the faith, and pierced themselves through with many sorrows."
