 1.0000,In the beginning God created the heaven and the earth.,In the beginning God created the heaven and the earth.
 1.0000,"And the LORD God caused a deep sleep to fall upon Adam, and he slept: and he took one of his ribs, and closed up the flesh instead thereof;","And the LORD God caused a deep sleep to fall upon Adam, and he slept: and he took one of his ribs, and closed up the flesh instead thereof;"
 1.0000,"And the rib, which the LORD God had taken from man, made he a woman, and brought her unto the man.","And the rib, which the LORD God had taken from man, made he a woman, and brought her unto the man."
 1.0000,"And Adam said, This is now bone of my bones, and flesh of my flesh: she shall be called Woman, because she was taken out of Man.","And Adam said, This is now bone of my bones, and flesh of my flesh: she shall be called Woman, because she was taken out of Man."
 1.0000,"Therefore shall a man leave his father and his mother, and shall cleave unto his wife: and they shall be one flesh.","Therefore shall a man leave his father and his mother, and shall cleave unto his wife: and they shall be one flesh."
 1.0000,"And they were both naked, the man and his wife, and were not ashamed.","And they were both naked, the man and his wife, and were not ashamed."
 1.0000,"Now the serpent was more subtil than any beast of the field which the LORD God had made. And he said unto the woman, Yea, hath God said, Ye shall not eat of every tree of the garden?","Now the serpent was more subtil than any beast of the field which the LORD God had made. And he said unto the woman, Yea, hath God said, Ye shall not eat of every tree of the garden?"
 1.0000,"And the woman said unto the serpent, We may eat of the fruit of the trees of the garden:","And the woman said unto the serpent, We may eat of the fruit of the trees of the garden:"
 1.0000,"But of the fruit of the tree which is in the midst of the garden, God hath said, Ye shall not eat of it, neither shall ye touch it, lest ye die.","But of the fruit of the tree which is in the midst of the garden, God hath said, Ye shall not eat of it, neither shall ye touch it, lest ye die."
 1.0000,"And the serpent said unto the woman, Ye shall not surely die:","And the serpent said unto the woman, Ye shall not surely die:"
 1.0000,"For God doth know that in the day ye eat thereof, then your eyes shall be opened, and ye shall be as gods, knowing good and evil.","For God doth know that in the day ye eat thereof, then your eyes shall be opened, and ye shall be as gods, knowing good and evil."
 1.0000,"And when the woman saw that the tree was good for food, and that it was pleasant to the eyes, and a tree to be desired to make one wise, she took of the fruit thereof, and did eat, and gave also unto her husband with her; and he did eat.","And when the woman saw that the tree was good for food, and that it was pleasant to the eyes, and a tree to be desired to make one wise, she took of the fruit thereof, and did eat, and gave also unto her husband with her; and he did eat."
 1.0000,"And the eyes of them both were opened, and they knew that they were naked; and they sewed fig leaves together, and made themselves aprons.","And the eyes of them both were opened, and they knew that they were naked; and they sewed fig leaves together, and made themselves aprons."
 1.0000,And they heard the voice of the LORD God walking in the garden in the cool of the day: and Adam and his wife hid themselves from the presence of the LORD God amongst the trees of the garden.,And they heard the voice of the LORD God walking in the garden in the cool of the day: and Adam and his wife hid themselves from the presence of the LORD God amongst the trees of the garden.
 1.0000,"And the LORD God called unto Adam, and said unto him, Where art thou?","And the LORD God called unto Adam, and said unto him, Where art thou?"
 1.0000,"And he said, I heard thy voice in the garden, and I was afraid, because I was naked; and I hid myself.","And he said, I heard thy voice in the garden, and I was afraid, because I was naked; and I hid myself."
 1.0000,"And he said, Who told thee that thou wast naked? Hast thou eaten of the tree, whereof I commanded thee that thou shouldest not eat?","And he said, Who told thee that thou wast naked? Hast thou eaten of the tree, whereof I commanded thee that thou shouldest not eat?"
 1.0000,"And the man said, The woman whom thou gavest to be with me, she gave me of the tree, and I did eat.","And the man said, The woman whom thou gavest to be with me, she gave me of the tree, and I did eat."
 1.0000,"And the LORD God said unto the woman, What is this that thou hast done? And the woman said, The serpent beguiled me, and I did eat.","And the LORD God said unto the woman, What is this that thou hast done? And the woman said, The serpent beguiled me, and I did eat."
 1.0000,"And the LORD God said unto the serpent, Because thou hast done this, thou art cursed above all cattle, and above every beast of the field; upon thy belly shalt thou go, and dust shalt thou eat all the days of thy life:","And the LORD God said unto the serpent, Because thou hast done this, thou art cursed above all cattle, and above every beast of the field; upon thy belly shalt thou go, and dust shalt thou eat all the days of thy life:"
 1.0000,"And I will put enmity between thee and the woman, and between thy seed and her seed; it shall bruise thy head, and thou shalt bruise his heel.","And I will put enmity between thee and the woman, and between thy seed and her seed; it shall bruise thy head, and thou shalt bruise his heel."
 1.0000,"Unto the woman he said, I will greatly multiply thy sorrow and thy conception; in sorrow thou shalt bring forth children; and thy desire shall be to thy husband, and he shall rule over thee.","Unto the woman he said, I will greatly multiply thy sorrow and thy conception; in sorrow thou shalt bring forth children; and thy desire shall be to thy husband, and he shall rule over thee."
 1.0000,"And unto Adam he said, Because thou hast hearkened unto the voice of thy wife, and hast eaten of the tree, of which I commanded thee, saying, Thou shalt not eat of it: cursed is the ground for thy sake; in sorrow shalt thou eat of it all the days of thy life;","And unto Adam he said, Because thou hast hearkened unto the voice of thy wife, and hast eaten of the tree, of which I commanded thee, saying, Thou shalt not eat of it: cursed is the ground for thy sake; in sorrow shalt thou eat of it all the days of thy life;"
 1.0000,Thorns also and thistles shall it bring forth to thee; and thou shalt eat the herb of the field;,Thorns also and thistles shall it bring forth to thee; and thou shalt eat the herb of the field;
 1.0000,"In the sweat of thy face shalt thou eat bread, till thou return unto the ground; for out of it wast thou taken: for dust thou art, and unto dust shalt thou return.","In the sweat of thy face shalt thou eat bread, till thou return unto the ground; for out of it wast thou taken: for dust thou art, and unto dust shalt thou return."
 1.0000,And Adam called his wife's name Eve; because she was the mother of all living.,And Adam called his wife's name Eve; because she was the mother of all living.
 1.0000,"Unto Adam also and to his wife did the LORD God make coats of skins, and clothed them.","Unto Adam also and to his wife did the LORD God make coats of skins, and clothed them."
 1.0000,"And the LORD God said, Behold, the man is become as one of us, to know good and evil: and now, lest he put forth his hand, and take also of the tree of life, and eat, and live for ever:","And the LORD God said, Behold, the man is become as one of us, to know good and evil: and now, lest he put forth his hand, and take also of the tree of life, and eat, and live for ever:"
 1.0000,"Therefore the LORD God sent him forth from the garden of Eden, to till the ground from whence he was taken.","Therefore the LORD God sent him forth from the garden of Eden, to till the ground from whence he was taken."
 1.0000,"So he drove out the man; and he placed at the east of the garden of Eden Cherubims, and a flaming sword which turned every way, to keep the way of the tree of life.","So he drove out the man; and he placed at the east of the garden of Eden Cherubims, and a flaming sword which turned every way, to keep the way of the tree of life."
 1.0000,"And Adam knew Eve his wife; and she conceived, and bare Cain, and said, I have gotten a man from the LORD.","And Adam knew Eve his wife; and she conceived, and bare Cain, and said, I have gotten a man from the LORD."
 1.0000,"And she again bare his brother Abel. And Abel was a keeper of sheep, but Cain was a tiller of the ground.","And she again bare his brother Abel. And Abel was a keeper of sheep, but Cain was a tiller of the ground."
 1.0000,"And in process of time it came to pass, that Cain brought of the fruit of the ground an offering unto the LORD.","And in process of time it came to pass, that Cain brought of the fruit of the ground an offering unto the LORD."
 1.0000,"And Abel, he also brought of the firstlings of his flock and of the fat thereof. And the LORD had respect unto Abel and to his offering:","And Abel, he also brought of the firstlings of his flock and of the fat thereof. And the LORD had respect unto Abel and to his offering:"
 1.0000,"But unto Cain and to his offering he had not respect. And Cain was very wroth, and his countenance fell.","But unto Cain and to his offering he had not respect. And Cain was very wroth, and his countenance fell."
 1.0000,"And the LORD said unto Cain, Why art thou wroth? and why is thy countenance fallen?","And the LORD said unto Cain, Why art thou wroth? and why is thy countenance fallen?"
 1.0000,"If thou doest well, shalt thou not be accepted? and if thou doest not well, sin lieth at the door. And unto thee shall be his desire, and thou shalt rule over him.","If thou doest well, shalt thou not be accepted? and if thou doest not well, sin lieth at the door. And unto thee shall be his desire, and thou shalt rule over him."
 1.0000,"And Cain talked with Abel his brother: and it came to pass, when they were in the field, that Cain rose up against Abel his brother, and slew him.","And Cain talked with Abel his brother: and it came to pass, when they were in the field, that Cain rose up against Abel his brother, and slew him."
 1.0000,"And the LORD said unto Cain, Where is Abel thy brother? And he said, I know not: Am I my brother's keeper?","And the LORD said unto Cain, Where is Abel thy brother? And he said, I know not: Am I my brother's keeper?"
 1.0000,"And he said, What hast thou done? the voice of thy brother's blood crieth unto me from the ground.","And he said, What hast thou done? the voice of thy brother's blood crieth unto me from the ground."
 1.0000,"And now art thou cursed from the earth, which hath opened her mouth to receive thy brother's blood from thy hand;","And now art thou cursed from the earth, which hath opened her mouth to receive thy brother's blood from thy hand;"
 1.0000,"When thou tillest the ground, it shall not henceforth yield unto thee her strength; a fugitive and a vagabond shalt thou be in the earth.","When thou tillest the ground, it shall not henceforth yield unto thee her strength; a fugitive and a vagabond shalt thou be in the earth."
 1.0000,"And Cain said unto the LORD, My punishment is greater than I can bear.","And Cain said unto the LORD, My punishment is greater than I can bear."
 1.0000,"Behold, thou hast driven me out this day from the face of the earth; and from thy face shall I be hid; and I shall be a fugitive and a vagabond in the earth; and it shall come to pass, that every one that findeth me shall slay me.","Behold, thou hast driven me out this day from the face of the earth; and from thy face shall I be hid; and I shall be a fugitive and a vagabond in the earth; and it shall come to pass, that every one that findeth me shall slay me."
 1.0000,"And the LORD said unto him, Therefore whosoever slayeth Cain, vengeance shall be taken on him sevenfold. And the LORD set a mark upon Cain, lest any finding him should kill him.","And the LORD said unto him, Therefore whosoever slayeth Cain, vengeance shall be taken on him sevenfold. And the LORD set a mark upon Cain, lest any finding him should kill him."
 1.0000,"And Cain went out from the presence of the LORD, and dwelt in the land of Nod, on the east of Eden.","And Cain went out from the presence of the LORD, and dwelt in the land of Nod, on the east of Eden."
 1.0000,"And Cain knew his wife; and she conceived, and bare Enoch: and he builded a city, and called the name of the city, after the name of his son, Enoch.","And Cain knew his wife; and she conceived, and bare Enoch: and he builded a city, and called the name of the city, after the name of his son, Enoch."
 1.0000,And unto Enoch was born Irad: and Irad begat Mehujael: and Mehujael begat Methusael: and Methusael begat Lamech.,And unto Enoch was born Irad: and Irad begat Mehujael: and Mehujael begat Methusael: and Methusael begat Lamech.
 1.0000,"And Lamech took unto him two wives: the name of the one was Adah, and the name of the other Zillah.","And Lamech took unto him two wives: the name of the one was Adah, and the name of the other Zillah."
 1.0000,"And Adah bare Jabal: he was the father of such as dwell in tents, and of such as have cattle.","And Adah bare Jabal: he was the father of such as dwell in tents, and of such as have cattle."
 1.0000,And his brother's name was Jubal: he was the father of all such as handle the harp and organ.,And his brother's name was Jubal: he was the father of all such as handle the harp and organ.
 1.0000,"And Zillah, she also bare Tubalcain, an instructer of every artificer in brass and iron: and the sister of Tubalcain was Naamah.","And Zillah, she also bare Tubalcain, an instructer of every artificer in brass and iron: and the sister of Tubalcain was Naamah."
 1.0000,"And Lamech said unto his wives, Adah and Zillah, Hear my voice; ye wives of Lamech, hearken unto my speech: for I have slain a man to my wounding, and a young man to my hurt.","And Lamech said unto his wives, Adah and Zillah, Hear my voice; ye wives of Lamech, hearken unto my speech: for I have slain a man to my wounding, and a young man to my hurt."
 1.0000,"If Cain shall be avenged sevenfold, truly Lamech seventy and sevenfold.","If Cain shall be avenged sevenfold, truly Lamech seventy and sevenfold."
 1.0000,"And Adam knew his wife again; and she bare a son, and called his name Seth: For God, said she, hath appointed me another seed instead of Abel, whom Cain slew.","And Adam knew his wife again; and she bare a son, and called his name Seth: For God, said she, hath appointed me another seed instead of Abel, whom Cain slew."
 1.0000,"And to Seth, to him also there was born a son; and he called his name Enos: then began men to call upon the name of the LORD.","And to Seth, to him also there was born a son; and he called his name Enos: then began men to call upon the name of the LORD."
 1.0000,"This is the book of the generations of Adam. In the day that God created man, in the likeness of God made he him;","This is the book of the generations of Adam. In the day that God created man, in the likeness of God made he him;"
 1.0000,"Male and female created he them; and blessed them, and called their name Adam, in the day when they were created.","Male and female created he them; and blessed them, and called their name Adam, in the day when they were created."
 1.0000,"And Adam lived an hundred and thirty years, and begat a son in his own likeness, and after his image; and called his name Seth:","And Adam lived an hundred and thirty years, and begat a son in his own likeness, and after his image; and called his name Seth:"
 1.0000,And the days of Adam after he had begotten Seth were eight hundred years: and he begat sons and daughters:,And the days of Adam after he had begotten Seth were eight hundred years: and he begat sons and daughters:
 1.0000,And all the days that Adam lived were nine hundred and thirty years: and he died.,And all the days that Adam lived were nine hundred and thirty years: and he died.
 1.0000,"And Seth lived an hundred and five years, and begat Enos:","And Seth lived an hundred and five years, and begat Enos:"
 1.0000,"And Seth lived after he begat Enos eight hundred and seven years, and begat sons and daughters:","And Seth lived after he begat Enos eight hundred and seven years, and begat sons and daughters:"
 1.0000,And all the days of Seth were nine hundred and twelve years: and he died.,And all the days of Seth were nine hundred and twelve years: and he died.
 1.0000,"And Enos lived ninety years, and begat Cainan:","And Enos lived ninety years, and begat Cainan:"
 1.0000,"And Enos lived after he begat Cainan eight hundred and fifteen years, and begat sons and daughters:","And Enos lived after he begat Cainan eight hundred and fifteen years, and begat sons and daughters:"
 1.0000,And all the days of Enos were nine hundred and five years: and he died.,And all the days of Enos were nine hundred and five years: and he died.
 1.0000,And Cainan lived seventy years and begat Mahalaleel:,And Cainan lived seventy years and begat Mahalaleel:
 1.0000,"And Cainan lived after he begat Mahalaleel eight hundred and forty years, and begat sons and daughters:","And Cainan lived after he begat Mahalaleel eight hundred and forty years, and begat sons and daughters:"
 1.0000,And all the days of Cainan were nine hundred and ten years: and he died.,And all the days of Cainan were nine hundred and ten years: and he died.
 1.0000,"And Mahalaleel lived sixty and five years, and begat Jared:","And Mahalaleel lived sixty and five years, and begat Jared:"
 1.0000,"And Mahalaleel lived after he begat Jared eight hundred and thirty years, and begat sons and daughters:","And Mahalaleel lived after he begat Jared eight hundred and thirty years, and begat sons and daughters:"
 1.0000,And all the days of Mahalaleel were eight hundred ninety and five years: and he died.,And all the days of Mahalaleel were eight hundred ninety and five years: and he died.
 1.0000,"And Jared lived an hundred sixty and two years, and he begat Enoch:","And Jared lived an hundred sixty and two years, and he begat Enoch:"
 1.0000,"And Jared lived after he begat Enoch eight hundred years, and begat sons and daughters:","And Jared lived after he begat Enoch eight hundred years, and begat sons and daughters:"
 1.0000,And all the days of Jared were nine hundred sixty and two years: and he died.,And all the days of Jared were nine hundred sixty and two years: and he died.
 1.0000,"And Enoch lived sixty and five years, and begat Methuselah:","And Enoch lived sixty and five years, and begat Methuselah:"
 1.0000,"And Enoch walked with God after he begat Methuselah three hundred years, and begat sons and daughters:","And Enoch walked with God after he begat Methuselah three hundred years, and begat sons and daughters:"
 1.0000,And all the days of Enoch were three hundred sixty and five years:,And all the days of Enoch were three hundred sixty and five years:
 1.0000,And Enoch walked with God: and he was not; for God took him.,And Enoch walked with God: and he was not; for God took him.
 1.0000,"And Methuselah lived an hundred eighty and seven years, and begat Lamech.","And Methuselah lived an hundred eighty and seven years, and begat Lamech."
 1.0000,"And Methuselah lived after he begat Lamech seven hundred eighty and two years, and begat sons and daughters:","And Methuselah lived after he begat Lamech seven hundred eighty and two years, and begat sons and daughters:"
 1.0000,And all the days of Methuselah were nine hundred sixty and nine years: and he died.,And all the days of Methuselah were nine hundred sixty and nine years: and he died.
 1.0000,"And Lamech lived an hundred eighty and two years, and begat a son:","And Lamech lived an hundred eighty and two years, and begat a son:"
 1.0000,"And he called his name Noah, saying, This same shall comfort us concerning our work and toil of our hands, because of the ground which the LORD hath cursed.","And he called his name Noah, saying, This same shall comfort us concerning our work and toil of our hands, because of the ground which the LORD hath cursed."
 1.0000,"And Lamech lived after he begat Noah five hundred ninety and five years, and begat sons and daughters:","And Lamech lived after he begat Noah five hundred ninety and five years, and begat sons and daughters:"
 1.0000,And all the days of Lamech were seven hundred seventy and seven years: and he died.,And all the days of Lamech were seven hundred seventy and seven years: and he died.
 1.0000,"And Noah was five hundred years old: and Noah begat Shem, Ham, and Japheth.","And Noah was five hundred years old: and Noah begat Shem, Ham, and Japheth."
 1.0000,"And it came to pass, when men began to multiply on the face of the earth, and daughters were born unto them,","And it came to pass, when men began to multiply on the face of the earth, and daughters were born unto them,"
 1.0000,That the sons of God saw the daughters of men that they were fair; and they took them wives of all which they chose.,That the sons of God saw the daughters of men that they were fair; and they took them wives of all which they chose.
 1.0000,"And the LORD said, My spirit shall not always strive with man, for that he also is flesh: yet his days shall be an hundred and twenty years.","And the LORD said, My spirit shall not always strive with man, for that he also is flesh: yet his days shall be an hundred and twenty years."
 1.0000,"There were giants in the earth in those days; and also after that, when the sons of God came in unto the daughters of men, and they bare children to them, the same became mighty men which were of old, men of renown.","There were giants in the earth in those days; and also after that, when the sons of God came in unto the daughters of men, and they bare children to them, the same became mighty men which were of old, men of renown."
 1.0000,"And God saw that the wickedness of man was great in the earth, and that every imagination of the thoughts of his heart was only evil continually.","And God saw that the wickedness of man was great in the earth, and that every imagination of the thoughts of his heart was only evil continually."
 1.0000,"And it repented the LORD that he had made man on the earth, and it grieved him at his heart.","And it repented the LORD that he had made man on the earth, and it grieved him at his heart."
 1.0000,"And the LORD said, I will destroy man whom I have created from the face of the earth; both man, and beast, and the creeping thing, and the fowls of the air; for it repenteth me that I have made them.","And the LORD said, I will destroy man whom I have created from the face of the earth; both man, and beast, and the creeping thing, and the fowls of the air; for it repenteth me that I have made them."
 1.0000,But Noah found grace in the eyes of the LORD.,But Noah found grace in the eyes of the LORD.
 1.0000,"These are the generations of Noah: Noah was a just man and perfect in his generations, and Noah walked with God.","These are the generations of Noah: Noah was a just man and perfect in his generations, and Noah walked with God."
 1.0000,"And Noah begat three sons, Shem, Ham, and Japheth.","And Noah begat three sons, Shem, Ham, and Japheth."
 1.0000,"The earth also was corrupt before God, and the earth was filled with violence.","The earth also was corrupt before God, and the earth was filled with violence."
 1.0000,"And God looked upon the earth, and, behold, it was corrupt; for all flesh had corrupted his way upon the earth.","And God looked upon the earth, and, behold, it was corrupt; for all flesh had corrupted his way upon the earth."
 1.0000,"And God said unto Noah, The end of all flesh is come before me; for the earth is filled with violence through them; and, behold, I will destroy them with the earth.","And God said unto Noah, The end of all flesh is come before me; for the earth is filled with violence through them; and, behold, I will destroy them with the earth."
 1.0000,"Make thee an ark of gopher wood; rooms shalt thou make in the ark, and shalt pitch it within and without with pitch.","Make thee an ark of gopher wood; rooms shalt thou make in the ark, and shalt pitch it within and without with pitch."
 1.0000,"And this is the fashion which thou shalt make it of: The length of the ark shall be three hundred cubits, the breadth of it fifty cubits, and the height of it thirty cubits.","And this is the fashion which thou shalt make it of: The length of the ark shall be three hundred cubits, the breadth of it fifty cubits, and the height of it thirty cubits."
 1.0000,"A window shalt thou make to the ark, and in a cubit shalt thou finish it above; and the door of the ark shalt thou set in the side thereof; with lower, second, and third stories shalt thou make it.","A window shalt thou make to the ark, and in a cubit shalt thou finish it above; and the door of the ark shalt thou set in the side thereof; with lower, second, and third stories shalt thou make it."
 1.0000,"And, behold, I, even I, do bring a flood of waters upon the earth, to destroy all flesh, wherein is the breath of life, from under heaven; and every thing that is in the earth shall die.","And, behold, I, even I, do bring a flood of waters upon the earth, to destroy all flesh, wherein is the breath of life, from under heaven; and every thing that is in the earth shall die."
 1.0000,"But with thee will I establish my covenant; and thou shalt come into the ark, thou, and thy sons, and thy wife, and thy sons' wives with thee.","But with thee will I establish my covenant; and thou shalt come into the ark, thou, and thy sons, and thy wife, and thy sons' wives with thee."
