 0.9243,In the beginning God created the heaven and the earth.,A revelation from Him Who created the earth and the heavens on high.
 0.9426,"And God set them in the firmament of the heaven to give light upon the earth,","Blessed is He Who made constellations in the skies, and placed therein a Lamp and a Moon giving light;"
 0.9231,"And to rule over the day and over the night, and to divide the light from the darkness: and God saw that it was good.","And among His Signs is the creation of the heavens and the earth, and the living creatures that He has scattered through them: and He has power to gather them together when He wills."
 0.8954,And the evening and the morning were the fourth day.,"And made the night as a covering,"
 0.9470,"And God said, Let the waters bring forth abundantly the moving creature that hath life, and fowl that may fly above the earth in the open firmament of heaven.","Then to eat of all the produce (of the earth), and find with skill the spacious paths of its Lord: there issues from within their bodies a drink of varying colours, wherein is healing for men: verily in this is a Sign for those who give thought."
 0.9398,"And God created great whales, and every living creature that moveth, which the waters brought forth abundantly, after their kind, and every winged fowl after his kind: and God saw that it was good.","And it is He who spread out the earth, and set thereon mountains standing firm and (flowing) rivers: and fruit of every kind He made in pairs, two and two: He draweth the night as a veil o'er the Day. Behold, verily in these things there are signs for those who consider!"
 0.9281,"And God blessed them, saying, Be fruitful, and multiply, and fill the waters in the seas, and let fowl multiply in the earth.","""And grant, our Lord! that they enter the Gardens of Eternity, which Thou hast promised to them, and to the righteous among their fathers, their wives, and their posterity! For Thou art (He), the Exalted in Might, Full of Wisdom."
 0.9046,And the evening and the morning were the fifth day.,"And made the night as a covering,"
 0.9211,"And God said, Let the earth bring forth the living creature after his kind, cattle, and creeping thing, and beast of the earth after his kind: and it was so.","And We gave (Abraham) Isaac and Jacob, and ordained among his progeny Prophethood and Revelation, and We granted him his reward in this life; and he was in the Hereafter (of the company) of the Righteous."
 0.9303,"And God made the beast of the earth after his kind, and cattle after their kind, and every thing that creepeth upon the earth after his kind: and God saw that it was good.","He created the heavens without any pillars that ye can see; He set on the earth mountains standing firm, lest it should shake with you; and He scattered through it beasts of all kinds. We send down rain from the sky, and produce on the earth every kind of noble creature, in pairs."
 0.9190,"And God said, Let us make man in our image, after our likeness: and let them have dominion over the fish of the sea, and over the fowl of the air, and over the cattle, and over all the earth, and over every creeping thing that creepeth upon the earth.","Behold! in the creation of the heavens and the earth; in the alternation of the night and the day; in the sailing of the ships through the ocean for the profit of mankind; in the rain which Allah Sends down from the skies, and the life which He gives therewith to an earth that is dead; in the beasts of all kinds that He scatters through the earth; in the change of the winds, and the clouds which they Trail like their slaves between the sky and the earth;- (Here) indeed are Signs for a people that are wise."
 0.9135,"So God created man in his own image, in the image of God created he him; male and female created he them.","He Who has made everything which He has created most good: He began the creation of man with (nothing more than) clay,"
 0.9230,"And God blessed them, and God said unto them, Be fruitful, and multiply, and replenish the earth, and subdue it: and have dominion over the fish of the sea, and over the fowl of the air, and over every living thing that moveth upon the earth.","""Lord of the heavens and of the earth, and of all that is between them; so worship Him, and be constant and patient in His worship: knowest thou of any who is worthy of the same Name as He?"""
 0.9412,"And God said, Behold, I have given you every herb bearing seed, which is upon the face of all the earth, and every tree, in the which is the fruit of a tree yielding seed; to you it shall be for meat.","Then to eat of all the produce (of the earth), and find with skill the spacious paths of its Lord: there issues from within their bodies a drink of varying colours, wherein is healing for men: verily in this is a Sign for those who give thought."
 0.9263,"And to every beast of the earth, and to every fowl of the air, and to every thing that creepeth upon the earth, wherein there is life, I have given every green herb for meat: and it was so.","He created the heavens without any pillars that ye can see; He set on the earth mountains standing firm, lest it should shake with you; and He scattered through it beasts of all kinds. We send down rain from the sky, and produce on the earth every kind of noble creature, in pairs."
 0.9022,"And God saw every thing that he had made, and, behold, it was very good. And the evening and the morning were the sixth day.","And in the hour of early dawn, they (were found) praying for Forgiveness;"
 0.9120,"Thus the heavens and the earth were finished, and all the host of them.",A revelation from Him Who created the earth and the heavens on high.
 0.8860,And on the seventh day God ended his work which he had made; and he rested on the seventh day from all his work which he had made.,"He Who has made everything which He has created most good: He began the creation of man with (nothing more than) clay,"
 0.9356,"And God blessed the seventh day, and sanctified it: because that in it he had rested from all his work which God created and made.","And We gave (Abraham) Isaac and Jacob, and ordained among his progeny Prophethood and Revelation, and We granted him his reward in this life; and he was in the Hereafter (of the company) of the Righteous."
 0.9228,"These are the generations of the heavens and of the earth when they were created, in the day that the LORD God made the earth and the heavens,","It is He Who created the Night and the Day, and the sun and the moon: all (the celestial bodies) swim along, each in its rounded course."
 0.9247,"And every plant of the field before it was in the earth, and every herb of the field before it grew: for the LORD God had not caused it to rain upon the earth, and there was not a man to till the ground.","He created the heavens without any pillars that ye can see; He set on the earth mountains standing firm, lest it should shake with you; and He scattered through it beasts of all kinds. We send down rain from the sky, and produce on the earth every kind of noble creature, in pairs."
 0.8961,"But there went up a mist from the earth, and watered the whole face of the ground.","And We send down water from the sky according to (due) measure, and We cause it to soak in the soil; and We certainly are able to drain it off (with ease)."
 0.8941,"And the LORD God formed man of the dust of the ground, and breathed into his nostrils the breath of life; and man became a living soul.","And among His Signs is the creation of the heavens and the earth, and the living creatures that He has scattered through them: and He has power to gather them together when He wills."
 0.9301,And the LORD God planted a garden eastward in Eden; and there he put the man whom he had formed.,"Blessed is He Who made constellations in the skies, and placed therein a Lamp and a Moon giving light;"
 0.9505,"And out of the ground made the LORD God to grow every tree that is pleasant to the sight, and good for food; the tree of life also in the midst of the garden, and the tree of knowledge of good and evil.","(Here is) a Parable of the Garden which the righteous are promised: in it are rivers of water incorruptible; rivers of milk of which the taste never changes; rivers of wine, a joy to those who drink; and rivers of honey pure and clear. In it there are for them all kinds of fruits; and Grace from their Lord. (Can those in such Bliss) be compared to such as shall dwell for ever in the Fire, and be given, to drink, boiling water, so that it cuts up their bowels (to pieces)?"
 0.9078,"And a river went out of Eden to water the garden; and from thence it was parted, and became into four heads.","Each of those gardens brought forth its produce, and failed not in the least therein: in the midst of them We caused a river to flow."
 0.9376,"The name of the first is Pison: that is it which compasseth the whole land of Havilah, where there is gold;","From the land that is clean and good, by the will of its Cherisher, springs up produce, (rich) after its kind: but from the land that is bad, springs up nothing but that which is niggardly: thus do we explain the signs by various (symbols) to those who are grateful."
 0.9062,And the gold of that land is good: there is bdellium and the onyx stone.,"With it He produces for you corn, olives, date-palms, grapes and every kind of fruit: verily in this is a sign for those who give thought."
 0.9168,And the name of the second river is Gihon: the same is it that compasseth the whole land of Ethiopia.,And a Sign for them is that We bore their race (through the Flood) in the loaded Ark;
 0.8981,And the name of the third river is Hiddekel: that is it which goeth toward the east of Assyria. And the fourth river is Euphrates.,"(Remember also) Qarun, Pharaoh, and Haman: there came to them Moses with Clear Signs, but they behaved with insolence on the earth; yet they could not overreach (Us)."
 0.9149,"And the LORD God took the man, and put him into the garden of Eden to dress it and to keep it.","And We gave (Abraham) Isaac and Jacob, and ordained among his progeny Prophethood and Revelation, and We granted him his reward in this life; and he was in the Hereafter (of the company) of the Righteous."
 0.9276,"And the LORD God commanded the man, saying, Of every tree of the garden thou mayest freely eat:","Behold, thy Lord said to the angels: ""I am about to create man from clay:"
 0.9179,"But of the tree of the knowledge of good and evil, thou shalt not eat of it: for in the day that thou eatest thereof thou shalt surely die.","We said: ""O Adam! dwell thou and thy wife in the Garden; and eat of the bountiful things therein as (where and when) ye will; but approach not this tree, or ye run into harm and transgression."""
 0.9229,"And the LORD God said, It is not good that the man should be alone; I will make him an help meet for him.","He said: ""So (it will be): Thy Lord saith, 'that is easy for Me: and (We wish) to appoint him as a Sign unto men and a Mercy from Us': It is a matter (so) decreed."""
 0.9277,"And out of the ground the LORD God formed every beast of the field, and every fowl of the air; and brought them unto Adam to see what he would call them: and whatsoever Adam called every living creature, that was the name thereof.","He created the heavens without any pillars that ye can see; He set on the earth mountains standing firm, lest it should shake with you; and He scattered through it beasts of all kinds. We send down rain from the sky, and produce on the earth every kind of noble creature, in pairs."
 0.9241,"And Adam gave names to all cattle, and to the fowl of the air, and to every beast of the field; but for Adam there was not found an help meet for him.","And it is He who spread out the earth, and set thereon mountains standing firm and (flowing) rivers: and fruit of every kind He made in pairs, two and two: He draweth the night as a veil o'er the Day. Behold, verily in these things there are signs for those who consider!"
 0.9327,"And the LORD God caused a deep sleep to fall upon Adam, and he slept: and he took one of his ribs, and closed up the flesh instead thereof;","So by deceit he brought about their fall: when they tasted of the tree, their shame became manifest to them, and they began to sew together the leaves of the garden over their bodies. And their Lord called unto them: ""Did I not forbid you that tree, and tell you that Satan was an avowed enemy unto you?"""
 0.9180,"And the rib, which the LORD God had taken from man, made he a woman, and brought her unto the man.","And among His Signs is the creation of the heavens and the earth, and the living creatures that He has scattered through them: and He has power to gather them together when He wills."
 0.9173,"And Adam said, This is now bone of my bones, and flesh of my flesh: she shall be called Woman, because she was taken out of Man.","He said, ""Nay, your Lord is the Lord of the heavens and the earth, He Who created them (from nothing): and I am a witness to this (Truth)."
 0.9144,"Therefore shall a man leave his father and his mother, and shall cleave unto his wife: and they shall be one flesh.","Or He bestows both males and females, and He leaves barren whom He will: for He is full of Knowledge and Power."
 0.8567,"And they were both naked, the man and his wife, and were not ashamed.","And when the two bodies saw each other, the people of Moses said: ""We are sure to be overtaken."""
 0.9225,"Now the serpent was more subtil than any beast of the field which the LORD God had made. And he said unto the woman, Yea, hath God said, Ye shall not eat of every tree of the garden?","So by deceit he brought about their fall: when they tasted of the tree, their shame became manifest to them, and they began to sew together the leaves of the garden over their bodies. And their Lord called unto them: ""Did I not forbid you that tree, and tell you that Satan was an avowed enemy unto you?"""
 0.9193,"And the woman said unto the serpent, We may eat of the fruit of the trees of the garden:","""O Joseph!"" (he said) ""O man of truth! Expound to us (the dream) of seven fat kine whom seven lean ones devour, and of seven green ears of corn and (seven) others withered: that I may return to the people, and that they may understand."""
 0.9357,"But of the fruit of the tree which is in the midst of the garden, God hath said, Ye shall not eat of it, neither shall ye touch it, lest ye die.","We said: ""O Adam! dwell thou and thy wife in the Garden; and eat of the bountiful things therein as (where and when) ye will; but approach not this tree, or ye run into harm and transgression."""
 0.9247,"And the serpent said unto the woman, Ye shall not surely die:","Say (to the Rejecters): ""My Lord is not uneasy because of you if ye call not on Him: But ye have indeed rejected (Him), and soon will come the inevitable (punishment)!"""
 0.9403,"For God doth know that in the day ye eat thereof, then your eyes shall be opened, and ye shall be as gods, knowing good and evil.","And those who are blessed shall be in the Garden: They will dwell therein for all the time that the heavens and the earth endure, except as thy Lord willeth: a gift without break."
 0.9082,"And when the woman saw that the tree was good for food, and that it was pleasant to the eyes, and a tree to be desired to make one wise, she took of the fruit thereof, and did eat, and gave also unto her husband with her; and he did eat.","So We listened to him: We removed the distress that was on him, and We restored his people to him, and doubled their number,- as a Grace from Ourselves, and a thing for commemoration, for all who serve Us."
 0.9035,"And the eyes of them both were opened, and they knew that they were naked; and they sewed fig leaves together, and made themselves aprons.","In the result, they both ate of the tree, and so their nakedness appeared to them: they began to sew together, for their covering, leaves from the Garden: thus did Adam disobey his Lord, and allow himself to be seduced."
 0.9025,And they heard the voice of the LORD God walking in the garden in the cool of the day: and Adam and his wife hid themselves from the presence of the LORD God amongst the trees of the garden.,"But when he came to the (fire), a voice was heard from the right bank of the valley, from a tree in hallowed ground: ""O Moses! Verily I am Allah, the Lord of the Worlds...."
 0.8825,"And the LORD God called unto Adam, and said unto him, Where art thou?","And Noah called upon his Lord, and said: ""O my Lord! surely my son is of my family! and Thy promise is true, and Thou art the justest of Judges!"""
 0.8691,"And he said, I heard thy voice in the garden, and I was afraid, because I was naked; and I hid myself.","Then Allah sent a raven, who scratched the ground, to show him how to hide the shame of his brother. ""Woe is me!"" said he; ""Was I not even able to be as this raven, and to hide the shame of my brother?"" then he became full of regrets-"
 0.9184,"And he said, Who told thee that thou wast naked? Hast thou eaten of the tree, whereof I commanded thee that thou shouldest not eat?","""Why bringest thou not angels to us if it be that thou hast the Truth?"""
 0.9206,"And the man said, The woman whom thou gavest to be with me, she gave me of the tree, and I did eat.","He said: ""He says: A heifer not trained to till the soil or water the fields; sound and without blemish."" They said: ""Now hast thou brought the truth."" Then they offered her in sacrifice, but not with good-will."
 0.9067,"And the LORD God said unto the woman, What is this that thou hast done? And the woman said, The serpent beguiled me, and I did eat.","But when He trieth him, restricting his subsistence for him, then saith he (in despair), ""My Lord hath humiliated me!"""
 0.9366,"And the LORD God said unto the serpent, Because thou hast done this, thou art cursed above all cattle, and above every beast of the field; upon thy belly shalt thou go, and dust shalt thou eat all the days of thy life:","And Moses chose seventy of his people for Our place of meeting: when they were seized with violent quaking, he prayed: ""O my Lord! if it had been Thy will Thou couldst have destroyed, long before, both them and me: wouldst Thou destroy us for the deeds of the foolish ones among us? this is no more than Thy trial: by it Thou causest whom Thou wilt to stray, and Thou leadest whom Thou wilt into the right path. Thou art our Protector: so forgive us and give us Thy mercy; for Thou art the best of those who forgive."
 0.9261,"And I will put enmity between thee and the woman, and between thy seed and her seed; it shall bruise thy head, and thou shalt bruise his heel.","""'Throw (the child) into the chest, and throw (the chest) into the river: the river will cast him up on the bank, and he will be taken up by one who is an enemy to Me and an enemy to him': But I cast (the garment of) love over thee from Me: and (this) in order that thou mayest be reared under Mine eye."
 0.9254,"Unto the woman he said, I will greatly multiply thy sorrow and thy conception; in sorrow thou shalt bring forth children; and thy desire shall be to thy husband, and he shall rule over thee.","""Behold! thy sister goeth forth and saith, 'shall I show you one who will nurse and rear the (child)?' So We brought thee back to thy mother, that her eye might be cooled and she should not grieve. Then thou didst slay a man, but We saved thee from trouble, and We tried thee in various ways. Then didst thou tarry a number of years with the people of Midian. Then didst thou come hither as ordained, O Moses!"
 0.9361,"And unto Adam he said, Because thou hast hearkened unto the voice of thy wife, and hast eaten of the tree, of which I commanded thee, saying, Thou shalt not eat of it: cursed is the ground for thy sake; in sorrow shalt thou eat of it all the days of thy life;","And Moses chose seventy of his people for Our place of meeting: when they were seized with violent quaking, he prayed: ""O my Lord! if it had been Thy will Thou couldst have destroyed, long before, both them and me: wouldst Thou destroy us for the deeds of the foolish ones among us? this is no more than Thy trial: by it Thou causest whom Thou wilt to stray, and Thou leadest whom Thou wilt into the right path. Thou art our Protector: so forgive us and give us Thy mercy; for Thou art the best of those who forgive."
 0.9443,Thorns also and thistles shall it bring forth to thee; and thou shalt eat the herb of the field;,"""Or (until) thou have a garden of date trees and vines, and cause rivers to gush forth in their midst, carrying abundant water;"
 0.9079,"In the sweat of thy face shalt thou eat bread, till thou return unto the ground; for out of it wast thou taken: for dust thou art, and unto dust shalt thou return.","""Thou causest the night to gain on the day, and thou causest the day to gain on the night; Thou bringest the Living out of the dead, and Thou bringest the dead out of the Living; and Thou givest sustenance to whom Thou pleasest, without measure."""
 0.8784,And Adam called his wife's name Eve; because she was the mother of all living.,"(Moses) said: ""Your Lord and the Lord of your fathers from the beginning!"""
 0.9127,"Unto Adam also and to his wife did the LORD God make coats of skins, and clothed them.",And it is your Lord that knoweth best all beings that are in the heavens and on earth: We did bestow on some prophets more (and other) gifts than on others: and We gave to David (the gift of) the Psalms.
 0.9385,"And the LORD God said, Behold, the man is become as one of us, to know good and evil: and now, lest he put forth his hand, and take also of the tree of life, and eat, and live for ever:","""Lord of the heavens and of the earth, and of all that is between them; so worship Him, and be constant and patient in His worship: knowest thou of any who is worthy of the same Name as He?"""
 0.9063,"Therefore the LORD God sent him forth from the garden of Eden, to till the ground from whence he was taken.","And We gave (Abraham) Isaac and Jacob, and ordained among his progeny Prophethood and Revelation, and We granted him his reward in this life; and he was in the Hereafter (of the company) of the Righteous."
 0.9255,"So he drove out the man; and he placed at the east of the garden of Eden Cherubims, and a flaming sword which turned every way, to keep the way of the tree of life.","So He completed them as seven firmaments in two Days, and He assigned to each heaven its duty and command. And We adorned the lower heaven with lights, and (provided it) with guard. Such is the Decree of (Him) the Exalted in Might, Full of Knowledge."
 0.9258,"And Adam knew Eve his wife; and she conceived, and bare Cain, and said, I have gotten a man from the LORD.","Before them the People of Noah rejected (their messenger): they rejected Our servant, and said, ""Here is one possessed!"", and he was driven out."
 0.8757,"And she again bare his brother Abel. And Abel was a keeper of sheep, but Cain was a tiller of the ground.","Truly Pharaoh elated himself in the land and broke up its people into sections, depressing a small group among them: their sons he slew, but he kept alive their females: for he was indeed a maker of mischief."
 0.9239,"And in process of time it came to pass, that Cain brought of the fruit of the ground an offering unto the LORD.","It brings forth its fruit at all times, by the leave of its Lord. So Allah sets forth parables for men, in order that they may receive admonition."
 0.9297,"And Abel, he also brought of the firstlings of his flock and of the fat thereof. And the LORD had respect unto Abel and to his offering:","And We gave (Abraham) Isaac and Jacob, and ordained among his progeny Prophethood and Revelation, and We granted him his reward in this life; and he was in the Hereafter (of the company) of the Righteous."
 0.9219,"But unto Cain and to his offering he had not respect. And Cain was very wroth, and his countenance fell.","""But whosoever turns away from My Message, verily for him is a life narrowed down, and We shall raise him up blind on the Day of Judgment."""
 0.9153,"And the LORD said unto Cain, Why art thou wroth? and why is thy countenance fallen?","Perchance thou mayest (feel the inclination) to give up a part of what is revealed unto thee, and thy heart feeleth straitened lest they say, ""Why is not a treasure sent down unto him, or why does not an angel come down with him?"" But thou art there only to warn! It is Allah that arrangeth all affairs!"
 0.9283,"If thou doest well, shalt thou not be accepted? and if thou doest not well, sin lieth at the door. And unto thee shall be his desire, and thou shalt rule over him.","And Moses chose seventy of his people for Our place of meeting: when they were seized with violent quaking, he prayed: ""O my Lord! if it had been Thy will Thou couldst have destroyed, long before, both them and me: wouldst Thou destroy us for the deeds of the foolish ones among us? this is no more than Thy trial: by it Thou causest whom Thou wilt to stray, and Thou leadest whom Thou wilt into the right path. Thou art our Protector: so forgive us and give us Thy mercy; for Thou art the best of those who forgive."
 0.8804,"And Cain talked with Abel his brother: and it came to pass, when they were in the field, that Cain rose up against Abel his brother, and slew him.","And he entered the city at a time when its people were not watching: and he found there two men fighting,- one of his own religion, and the other, of his foes. Now the man of his own religion appealed to him against his foe, and Moses struck him with his fist and made an end of him. He said: ""This is a work of Evil (Satan): for he is an enemy that manifestly misleads!"""
 0.9089,"And the LORD said unto Cain, Where is Abel thy brother? And he said, I know not: Am I my brother's keeper?","And Noah called upon his Lord, and said: ""O my Lord! surely my son is of my family! and Thy promise is true, and Thou art the justest of Judges!"""
 0.9192,"And he said, What hast thou done? the voice of thy brother's blood crieth unto me from the ground.",O Abraham! Seek not this. The decree of thy Lord hath gone forth: for them there cometh a penalty that cannot be turned back!
 0.9272,"And now art thou cursed from the earth, which hath opened her mouth to receive thy brother's blood from thy hand;","""But thou dost wreak thy vengeance on us simply because we believed in the Signs of our Lord when they reached us! Our Lord! pour out on us patience and constancy, and take our souls unto thee as Muslims (who bow to thy will)!"
 0.9321,"When thou tillest the ground, it shall not henceforth yield unto thee her strength; a fugitive and a vagabond shalt thou be in the earth.","Nor walk on the earth with insolence: for thou canst not rend the earth asunder, nor reach the mountains in height."
 0.9006,"And Cain said unto the LORD, My punishment is greater than I can bear.","Commemorate Our Servant Job. Behold he cried to his Lord: ""The Evil One has afflicted me with distress and suffering!"""
 0.9174,"Behold, thou hast driven me out this day from the face of the earth; and from thy face shall I be hid; and I shall be a fugitive and a vagabond in the earth; and it shall come to pass, that every one that findeth me shall slay me.","So from whencesoever Thou startest forth, turn Thy face in the direction of the sacred Mosque; and wheresoever ye are, Turn your face thither: that there be no ground of dispute against you among the people, except those of them that are bent on wickedness; so fear them not, but fear Me; and that I may complete My favours on you, and ye May (consent to) be guided;"
 0.9233,"And the LORD said unto him, Therefore whosoever slayeth Cain, vengeance shall be taken on him sevenfold. And the LORD set a mark upon Cain, lest any finding him should kill him.","Behold! thy Lord did declare that He would send against them, to the Day of Judgment, those who would afflict them with grievous penalty. Thy Lord is quick in retribution, but He is also Oft-forgiving, Most Merciful."
 0.9023,"And Cain went out from the presence of the LORD, and dwelt in the land of Nod, on the east of Eden.","And remember David and Solomon, when they gave judgment in the matter of the field into which the sheep of certain people had strayed by night: We did witness their judgment."
 0.9117,"And Cain knew his wife; and she conceived, and bare Enoch: and he builded a city, and called the name of the city, after the name of his son, Enoch.","And We gave (Abraham) Isaac and Jacob, and ordained among his progeny Prophethood and Revelation, and We granted him his reward in this life; and he was in the Hereafter (of the company) of the Righteous."
 0.8742,And unto Enoch was born Irad: and Irad begat Mehujael: and Mehujael begat Methusael: and Methusael begat Lamech.,"We gave him Isaac and Jacob: all (three) guided: and before him, We guided Noah, and among his progeny, David, Solomon, Job, Joseph, Moses, and Aaron: thus do We reward those who do good:"
 0.8846,"And Lamech took unto him two wives: the name of the one was Adah, and the name of the other Zillah.","Said the chiefs of Pharaoh's people: ""Wilt thou leave Moses and his people, to spread mischief in the land, and to abandon thee and thy gods?"" He said: ""Their male children will we slay; (only) their females will we save alive; and we have over them (power) irresistible."""
 0.9302,"And Adah bare Jabal: he was the father of such as dwell in tents, and of such as have cattle.","""(Deeds) after the manner of the people of Pharaoh and of those before them: They rejected the Signs of Allah, and Allah punished them for their crimes: for Allah is Strong, and Strict in punishment:"
 0.9152,And his brother's name was Jubal: he was the father of all such as handle the harp and organ.,"Say, ""He will give them life Who created them for the first time! for He is Well-versed in every kind of creation!-"
 0.9360,"And Zillah, she also bare Tubalcain, an instructer of every artificer in brass and iron: and the sister of Tubalcain was Naamah.","(Remember also) Qarun, Pharaoh, and Haman: there came to them Moses with Clear Signs, but they behaved with insolence on the earth; yet they could not overreach (Us)."
 0.9329,"And Lamech said unto his wives, Adah and Zillah, Hear my voice; ye wives of Lamech, hearken unto my speech: for I have slain a man to my wounding, and a young man to my hurt.","And their Lord hath accepted of them, and answered them: ""Never will I suffer to be lost the work of any of you, be he male or female: Ye are members, one of another: Those who have left their homes, or been driven out therefrom, or suffered harm in My Cause, or fought or been slain,- verily, I will blot out from them their iniquities, and admit them into Gardens with rivers flowing beneath;- A reward from the presence of Allah, and from His presence is the best of rewards."""
 0.9318,"If Cain shall be avenged sevenfold, truly Lamech seventy and sevenfold.","""But whosoever turns away from My Message, verily for him is a life narrowed down, and We shall raise him up blind on the Day of Judgment."""
 0.9211,"And Adam knew his wife again; and she bare a son, and called his name Seth: For God, said she, hath appointed me another seed instead of Abel, whom Cain slew.","The man in Egypt who bought him, said to his wife: ""Make his stay (among us) honourable: may be he will bring us much good, or we shall adopt him as a son."" Thus did We establish Joseph in the land, that We might teach him the interpretation of stories (and events). And Allah hath full power and control over His affairs; but most among mankind know it not."
 0.9146,"And to Seth, to him also there was born a son; and he called his name Enos: then began men to call upon the name of the LORD.",And it is your Lord that knoweth best all beings that are in the heavens and on earth: We did bestow on some prophets more (and other) gifts than on others: and We gave to David (the gift of) the Psalms.
 0.9284,"This is the book of the generations of Adam. In the day that God created man, in the likeness of God made he him;","(This is) the Revelation of the Book in which there is no doubt,- from the Lord of the Worlds."
 0.9369,"Male and female created he them; and blessed them, and called their name Adam, in the day when they were created.","And We gave (Abraham) Isaac and Jacob, and ordained among his progeny Prophethood and Revelation, and We granted him his reward in this life; and he was in the Hereafter (of the company) of the Righteous."
 0.9370,"And Adam lived an hundred and thirty years, and begat a son in his own likeness, and after his image; and called his name Seth:","And We gave (Abraham) Isaac and Jacob, and ordained among his progeny Prophethood and Revelation, and We granted him his reward in this life; and he was in the Hereafter (of the company) of the Righteous."
 0.9047,And the days of Adam after he had begotten Seth were eight hundred years: and he begat sons and daughters:,"To Him is due the primal origin of the heavens and the earth: How can He have a son when He hath no consort? He created all things, and He hath full knowledge of all things."
 0.9059,And all the days that Adam lived were nine hundred and thirty years: and he died.,The angels and the spirit ascend unto him in a Day the measure whereof is (as) fifty thousand years:
 0.9110,"And Seth lived an hundred and five years, and begat Enos:",And made his progeny to endure (on this earth);
 0.9112,"And Seth lived after he begat Enos eight hundred and seven years, and begat sons and daughters:","And We gave (Abraham) Isaac and Jacob, and ordained among his progeny Prophethood and Revelation, and We granted him his reward in this life; and he was in the Hereafter (of the company) of the Righteous."
 0.9075,And all the days of Seth were nine hundred and twelve years: and he died.,The Night of Power is better than a thousand months.
 0.9197,"And Enos lived ninety years, and begat Cainan:",And made his progeny to endure (on this earth);
 0.9117,"And Enos lived after he begat Cainan eight hundred and fifteen years, and begat sons and daughters:","And We gave (Abraham) Isaac and Jacob, and ordained among his progeny Prophethood and Revelation, and We granted him his reward in this life; and he was in the Hereafter (of the company) of the Righteous."
 0.9055,And all the days of Enos were nine hundred and five years: and he died.,The angels and the spirit ascend unto him in a Day the measure whereof is (as) fifty thousand years:
 0.9288,And Cainan lived seventy years and begat Mahalaleel:,And He created Jinns from fire free of smoke:
 0.9208,"And Cainan lived after he begat Mahalaleel eight hundred and forty years, and begat sons and daughters:",The angels and the spirit ascend unto him in a Day the measure whereof is (as) fifty thousand years:
 0.9051,And all the days of Cainan were nine hundred and ten years: and he died.,The angels and the spirit ascend unto him in a Day the measure whereof is (as) fifty thousand years:
